position_name,salary,work_exp,education,work_city,区域,商圈,company_name,company_size,industry,welfare,job_summary
Unity客户端开发-战斗,15-25K·16薪,3-5年,本科,上海,徐汇区,漕河泾,蛮啾网络,100-499人,游戏,"['节假日加班费', '五险一金', '餐补', '零食下午茶', '年终奖', '全勤奖', '定期体检']","['Unity3D', '3D游戏客户端开发经验']"
unity场地地编（外派）,18-30K,5-10年,学历不限,上海,浦东新区,张江,永昼文化,20-99人,游戏,"['团建聚餐', '交通补助', '年终奖', '零食下午茶', '绩效奖金', '节假日加班费', '节日福利', '五险一金', '带薪年假', '全勤奖', '加班补助', '住房补贴', '有无线网']","['Unity', 'RPG游戏', '场景编辑', 'unity地编']"
买量视频 引擎美术,7-12K,1-3年,学历不限,上海,嘉定区,江桥,昭驰文化,0-20人,广告/公关/会展,[],"['UE4', 'Unity3D', '3ds Max', 'Maya', '计算机/软件工程相关专业', '美术/动画基础', '游戏客户端开发经验', 'UE4开发经验', 'Shader开发经验', '接受实习/在校生投递', 'ue5', 'unreal', '引擎美术', 'ue4', 'unity']"
unity特效师,15-20K·13薪,1-3年,学历不限,上海,宝山区,共康,北京藏代,20-99人,游戏,"['有无线网', '住房补贴', '团建聚餐', '节假日加班费', '员工旅游', '定期体检', '工龄奖', '五险一金', '底薪加提成', '年终奖', '绩效奖金', '意外险', '餐补', '保底工资', '零食下午茶']",['pv特效']
unity技术美术ta（美术向）,3500-4000元/周,经验不限,学历不限,上海,闵行区,虹桥,泠阳,0-20人,社交网络与媒体,"['定期体检', '加班补助', '带薪年假', '员工旅游', '五险一金', '补充医疗保险', '股票期权', '餐补', '住房补贴', '年终奖', '通讯补贴']","['unity3D', 'blender', '技术美术', '风格化', '游戏', 'CG']"
资深 Gameplay 开发工程师（Unity）,30-40K·14薪,3-5年,本科,上海,杨浦区,五角场,所思科技,100-499人,游戏,"['全勤奖', '定期体检', '团建聚餐', '带薪年假', '免费工装', '夜班补助', '节日福利', '节假日加班费', '年终奖', '五险一金', '加班补助', '补充医疗保险']","['Unity3D', 'ecs', 'dots']"
客户端开发工程师,30-40K·14薪,3-5年,本科,上海,静安区,汶水路,心动,1000-9999人,游戏,"['节日福利', '补充医疗保险', '定期体检', '零食下午茶', '五险一金', '员工旅游', '包吃', '餐补', '交通补助', '免费班车', '带薪年假', '年终奖', '年度体检']","['C/C++', 'Unity3D', 'Python']"
Unity地编,10-15K,1-3年,学历不限,上海,闵行区,虹桥,苏州荷利欧文化传媒,0-20人,游戏,[],"['MOBA游戏', 'Unity', 'RPG游戏']"
Unity游戏中级开发工程师,15-25K,经验不限,大专,上海,浦东新区,张江,风林火山网络科技,20-99人,游戏,[],"['Unity3D', '游戏']"
游戏3d特效-上海,15-20K,3-5年,学历不限,上海,闵行区,虹桥,小鹿网络,20-99人,游戏,"['团队聚餐', '五险一金', '节假日加班费', '员工培训', '夜班补助', '带薪年假', '双休', '餐补']","['写实', '半写实', 'PS', '3ds MAX', 'Unity 3D', 'unity', '欧美', 'moba']"
ae视频设计师,20-30K·14薪,5-10年,大专,上海,徐汇区,漕河泾,点点互动,1000-9999人,游戏,"['定期体检', '员工旅游', '补充医疗保险', '股票期权', '零食下午茶', '节日福利', '年终奖', '加班补助', '带薪年假', '交通补助', '餐补', '五险一金']","['unity', 'spine']"
资深unity开发工程师,30-35K,5-10年,本科,上海,徐汇区,漕河泾,假面科技,100-499人,移动互联网,"['生日福利', '餐补', '住房补贴', '团建聚餐', '员工旅游', '交通补助', '五险一金', '节日福利', '股票期权', '带薪年假', '定期体检']","['Unity3D', 'C#', 'Lua']"
Unity TA工程师,6-10K,在校/应届,学历不限,上海,徐汇区,漕河泾,上海算术,100-499人,计算机软件,"['五险一金', '加班补助', '带薪年假', '节日福利']","['技术美术', '二次元', '虚拟主播']"
unity特效师,15-25K,1-3年,学历不限,上海,徐汇区,漕河泾,上海奕己信息科技...,20-99人,互联网,"['带薪年假', '节日福利', '加班补助', '零食下午茶', '周末双休', '年终奖', '五险一金', '绩效奖金', '补充医疗保险']","['3ds MAX', 'shader', 'MOBA游戏', 'Unity 3D', '模拟经营', 'U3D', '欧美现代', 'Maya', '二次元', 'VR', 'unity特效', '写实']"
Unity软件工程师,10-15K,3-5年,本科,上海,徐汇区,徐家汇,触派科技,0-20人,计算机软件,"['出差有补贴', '年终奖', '全勤奖', '五险一金', '团建聚餐', '带薪年假', '绩效奖金', '保底工资']","['HTML5', 'Unity3D', 'C/C++']"
unity技术美术,15-25K,1-3年,学历不限,上海,嘉定区,江桥,安徽金域红文旅科技,20-99人,生活服务(O2O),[],"['Unity', 'C++/C#/Python', 'OpenGL', 'Direct3DGraphic', 'GLSL/HLSL/Cg', 'shader']"
Unreal Engine和Unity技术美编,10-15K,5-10年,本科,上海,徐汇区,漕河泾,飞来飞去,100-499人,广告/公关/会展,"['五险一金', '节日福利', '年终奖', '餐补', '员工旅游', '包吃', '带薪年假', '零食下午茶', '加班补助']",[]
游戏战斗策划,30-60K·16薪,3-5年,本科,上海,,,某知名游戏公司,1000-9999人,游戏,[],"['游戏数值策划', '战斗策划', 'unity']"
unity特效师（2D）,15-25K,3-5年,大专,上海,徐汇区,漕河泾,上海有顶天网络技术,20-99人,游戏,"['五险一金', '节日福利', '带薪年假']","['二次元', '卡牌/战棋', 'Unity 3D']"
游戏动作设计（UE二次元,35-55K·15薪,5-10年,大专,上海,,,某知名企业,500-999人,游戏,"['五险一金', '加班补助', '节日福利', '餐补', '年终奖', '通讯补贴', '意外险', '团建聚餐', '生日福利', '住房补贴', '员工旅游', '股票期权', '带薪年假', '交通补助', '补充医疗保险', '零食下午茶', '定期体检']","['RPG游戏', 'RTS游戏', '第三人称', 'UE4', 'ZBrush', 'Substance Painter', 'Unity', '3ds MAX', '二次元大世界游戏', '游戏动画', '游戏动作', '局内战斗', '表演动画']"
游戏特效,30-50K·14薪,经验不限,学历不限,上海,徐汇区,漕河泾,上海游社网络科技,20-99人,互联网,"['年终奖', '生日福利', '定期体检', '补充医疗保险', '员工旅游', '带薪年假', '保底工资', '五险一金']","['unity', 'ue']"
U3D高级/资深客户端开发工程师（剑心雕龙）,30-50K·16薪,5-10年,本科,上海,徐汇区,徐汇滨江,网易游戏,10000人以上,游戏,"['股票期权', '交通补助', '节日福利', '包吃', '年终奖', '餐补', '免费班车', '五险一金', '定期体检', '带薪年假', '员工旅游', '补充医疗保险']","['Unity3D', 'Unity3D开发经验']"
unity游戏开发工程师,5-10K,经验不限,高中,上海,闵行区,浦江,上海贤王座网络科技,20-99人,互联网,"['年终奖', '绩效奖金', '有无线网', '团建聚餐', '五险一金', '节日福利']",['Unity3D']
游戏ui动效设计师unity,8-13K,1-3年,学历不限,上海,普陀区,长征,飞艺科技,20-99人,游戏,"['加班补助', '零食下午茶', '带薪年假', '五险一金', '员工旅游', '节日福利']","['MOBA游戏', '格斗游戏', '动作冒险', '动效设计', 'UE4', '写实']"
U3D游戏客户端主程,35-55K·15薪,5-10年,本科,上海,,,上海某中型游戏公司,100-499人,游戏,"['意外险', '年终奖', '五险一金', '保底工资', '补充医疗保险', '定期体检', '带薪年假', '法定节假日三薪']",[]
Unity SDK开发工程师,20-30K·14薪,3-5年,本科,上海,松江区,九亭,玩出梦想科技,500-999人,智能硬件,"['员工旅游', '生日福利', '股票期权', '零食下午茶', '带薪年假', '节日福利', '餐补', '免费班车', '年终奖', '绩效奖金', '补充医疗保险', '定期体检', '五险一金']",['Unity3D']
unity开发工程师,19-24K·13薪,3-5年,本科,上海,静安区,南京西路,莱科德,10000人以上,其他专业服务,"['定期体检', '补充医疗保险', '免费班车', '交通补助', '年终奖', '加班补助', '节日福利', '餐补', '五险一金', '带薪年假']","['C#', 'Unity3D', 'Shader开发经验', 'OpenGL', 'Maya', '汽车座舱HMI', 'Unity3D开发经验', '软件开发经验', 'Python']"
u3d特效,21-40K,5-10年,学历不限,上海,闵行区,虹桥,域游科技,20-99人,游戏,"['五险一金', '全勤奖', '年终奖', '补充医疗保险', '节日福利']","['3ds MAX', 'unity', '横版', 'Unity 3D', 'RPG游戏', 'U3D', '3D设计', '游戏特效', '写实']"
游戏开发工具工程师,25-45K,3-5年,本科,上海,徐汇区,漕河泾,MiAO,20-99人,游戏,"['补充医疗保险', '定期体检', '包吃', '年终奖', '带薪年假', '团建聚餐', '零食下午茶', '节日福利', '生日福利', '绩效奖金', '全勤奖', '五险一金']","['unity', '游戏', '游戏开发工具工程师']"
资深u3d引擎开发工程师,30-60K·15薪,5-10年,本科,上海,,,巨人网络,1000-9999人,游戏,[],"['引擎开发', 'u3d', '源码']"
资深U3D开发,25-40K·15薪,5-10年,本科,上海,,,某知名游戏公司,1000-9999人,游戏,[],"['Unity3D', '3D游戏客户端开发经验', '手游开发经验', 'Shader开发经验']"
unity 特效,12-16K·13薪,1-3年,大专,上海,杨浦区,五角场,上海历影科技,20-99人,广告/公关/会展,['五险一金'],"['AE', 'Unity 3D']"
Unity研发工程师（小游戏）,10-15K·13薪,1-3年,大专,上海,徐汇区,漕河泾,诗与剑网络,20-99人,游戏,"['生日会', '节日福利', '五险一金', '带薪年假', '员工旅游', '年终奖', '零食下午茶', '商险', '定期体检']","['Unity3D', 'Lua']"
Unity高级/资深工程师(Android方向),30-60K,5-10年,本科,上海,闵行区,虹桥,集度汽车,500-999人,汽车研发/制造,['股票期权'],"['Java', 'C++', 'android', 'unity']"
资深u3d开发,30-50K·15薪,5-10年,本科,上海,,,某大型已上市互联网游戏平台公司,1000-9999人,互联网,"['带薪年假', '定期体检', '零食下午茶', '五险一金', '节日福利', '年终奖', '补充医疗保险', '股票期权']","['Unity3D', '客户端主程', '客户端开发']"
ue特效师   （unity特效也在招的）急,16-30K,3-5年,大专,上海,徐汇区,漕河泾,上海不拘一格数码科技,100-499人,文化艺术/娱乐,"['五险一金', '交通补助', '员工旅游', '年终奖', '零食下午茶', '包吃', '餐补', '节日福利', '绩效奖金', '全勤奖', '带薪年假', '工龄奖', '生日福利', '团建聚餐']","['MOBA游戏', 'RPG游戏', 'RTS游戏', '3ds MAX', 'Maya', 'AE', 'UE4', 'unity']"
Unity研发设计师,10-15K,1-3年,本科,上海,松江区,九亭,支云广告,0-20人,广告营销,"['保底工资', '生日福利', '节日福利', '员工旅游', '绩效奖金', '年终奖', '零食下午茶', '五险一金', '带薪年假', '意外险', '有无线网', '团建聚餐', '加班餐']","['Unity3D', 'C/C++', 'C#', '计算机/软件工程相关专业', 'Unity3D开发经验', '软件开发经验']"
引擎开发专家（图形+动画+双休+不加班）,40-60K·15薪,5-10年,本科,上海,,,某500强上市公司,500-999人,游戏,"['团建聚餐', '通讯补贴', '定期体检', '股票期权', '补充医疗保险', '节日福利', '餐补', '员工旅游', '加班补助', '带薪年假', '住房补贴', '生日福利', '五险一金', '年终奖', '意外险', '零食下午茶', '交通补助']","['Unity3D', 'C/C++', 'C#', 'Unity3D开发经验', '3D游戏客户端开发经验', '手游开发经验', '图形开发', '动画']"
游戏ui设计师,18-25K,5-10年,学历不限,上海,徐汇区,漕河泾,电果科技,100-499人,游戏,"['法定节假日三薪', '底薪加提成', '保底工资', '绩效奖金', '年终奖', '五险一金']","['交互设计', '游戏端', '界面设计', 'PS', 'unity', 'lustrator', '游戏']"
unity技术美术,20-30K,3-5年,大专,上海,浦东新区,张江,辉塔信息,100-499人,计算机软件,"['五险一金', '带薪年假']",['unity 3d Max、Maya']
Unity制作实习,3-5K,经验不限,大专,上海,静安区,汶水路,湃腾文化,20-99人,广告/公关/会展,"['零食下午茶', '全勤奖', '带薪年假', '年终奖', '五险一金', '节日福利', '交通补助', '免费班车']",['计算机相关专业']
资深场景原画（日系奇幻）,20-35K·14薪,5-10年,大专,上海,,,紫龙游戏,500-999人,游戏,"['年终奖', '零食下午茶', '带薪年假', '生日福利', '五险一金', '员工旅游', '团建聚餐', '补充医疗保险', '餐补', '绩效奖金', '定期体检', '节日福利']","['游戏场景原画', '日系奇幻']"
unity地编,8-13K,1-3年,学历不限,上海,徐汇区,漕河泾,逗炫科技,20-99人,游戏,"['零食下午茶', '年终奖', '带薪年假', '节日福利', '全勤奖', '员工旅游', '股票期权', '五险一金']","['场景编辑', '渲染场景', '二次元', '射击游戏', '第三人称', 'Unity', 'Maya', '3ds MAX']"
unity游戏特效/上海/杭州,10-15K,3-5年,学历不限,上海,松江区,九亭,夜龙,0-20人,游戏,"['五险一金', '法定节假日三薪', '零食下午茶', '节假日加班费']","['写实', '二次元', '仙侠风', '第三人称', 'MOBA游戏', '卡牌/战棋', '动作冒险', 'Unity 3D', 'AE', 'U3D']"
Unity/JAVA工程师,100-150元/天,,学历不限,上海,松江区,九亭,上海绘艺灵境网络,20-99人,游戏,"['远程办公', '保底工资', '底薪加提成', '时间自由']","['Java', 'C', 'Python', 'C++', '团队管理经验', '接受居家办公', 'Unity开发', 'Unity', 'AI', '大模型']"
特效向游戏技术美术,15-30K,1-3年,本科,上海,徐汇区,漕河泾,点晴科技,500-999人,互联网,"['五险一金', '补充医疗保险', '全勤奖', '带薪年假']","['Houdini', 'unity', 'Unreal Engine']"
unity高级工程师,20-22K,1-3年,本科,上海,,,广州某大型互联网综合服务平台公司,10000人以上,互联网,"['定期体检', '五险一金', '带薪年假', '节日福利', '年终奖', '免费班车', '全勤奖', '包吃', '补充医疗保险']","['Unity3D', 'Lua']"
unity特效师,15-30K,1-3年,大专,上海,静安区,江宁路,野瞳科技,20-99人,游戏,[],"['写实', '日韩', 'unity ', '特效']"
游戏引擎开发工程师,35-60K·14薪,5-10年,本科,上海,,,某500强上市公司,500-999人,游戏,"['五险一金', '零食下午茶', '定期体检', '补充医疗保险', '带薪年假', '餐补', '绩效奖金', '员工旅游', '团建聚餐', '生日福利', '年终奖', '节日福利']","['Unity3D', 'OpenGL', 'Shader开发经验', '引擎']"
游戏特效师,20-30K·13薪,5-10年,大专,上海,虹口区,北外滩,上海IGG,500-999人,游戏,"['五险一金', '节日福利', '员工旅游', '住房补贴', '定期体检', '餐补', '生日福利', '团建聚餐']","['unity', '游戏特效']"
unity特效师,15-20K,3-5年,大专,上海,松江区,新桥,魔度映绘,0-20人,其他专业服务,"['节日福利', '团建聚餐', '带薪年假', '工龄奖', '五险一金']",['U3D']
Unity技术美术,15-30K·16薪,1-3年,本科,上海,杨浦区,五角场,海妖互动娱乐,20-99人,游戏,[],['游戏引擎']
unity技术美术,15-20K,3-5年,学历不限,上海,静安区,静安寺,麦胜科技,20-99人,广播/影视,"['生日福利', '节日福利', '五险一金', '员工旅游', '零食下午茶', '团建聚餐', '带薪年假', '有无线网']",['Unity']
u3d,7-10K,1-3年,大专,上海,,,雷博士,20-99人,智能硬件,"['孝顺津贴', '带薪年假', '五险一金', '团建聚餐', '零食下午茶']","['C#', 'C/C++', 'unity']"
unity特效组长-卡通风格-乐元素上海,35-50K·15薪,5-10年,大专,上海,,,某大型游戏公司,500-999人,游戏,"['通讯补贴', '股票期权', '定期体检', '补充医疗保险', '餐补', '年终奖', '五险一金', '带薪年假', '住房补贴', '意外险', '生日福利', '零食下午茶', '加班补助', '员工旅游', '节日福利', '交通补助', '团建聚餐']","['U3D', '卡通']"
高级unity开发工程师,20-30K·15薪,3-5年,本科,上海,,,某大型汽车研发/制造公司,1000-9999人,汽车研发/制造,"['节日福利', '餐补', '加班补助', '带薪年假', '补充医疗保险', '意外险', '通讯补贴', '年终奖', '定期体检', '企业年金']",['计算机/软件工程相关专业']
unity特效,8-12K,1-3年,大专,上海,杨浦区,五角场,上海琰鹿网络科技,0-20人,游戏,"['五险一金', '股票期权', '保底工资']","['Q版', '俯瞰', '休闲益智', '卡牌/战棋', 'AE', 'Spine', 'Unity 3D', '3ds MAX']"
unity特效,15-30K,3-5年,大专,上海,杨浦区,五角场,深圳市才萌网络科技,100-499人,游戏,"['保底工资', '股票期权', '节日福利', '绩效奖金', '加班补助', '零食下午茶', '团建聚餐', '全勤奖', '法定节假日三薪', '五险一金', '节假日加班费', '底薪加提成', '年终奖', '工龄奖', '夜班补助', '补充医疗保险', '员工旅游', '定期体检']","['写实', 'Unity 3D']"
高级unity客户端（福州异地招募）,20-35K·13薪,5-10年,本科,上海,杨浦区,江浦路,IGG,1000-9999人,游戏,"['五险一金', '年终奖', '生日福利', '团建聚餐', '餐补', '股票期权', '免费工装', '节日福利', '带薪年假', '定期体检', '员工旅游', '零食下午茶']","['Unity3D', 'Shader开发经验', '3D游戏客户端开发经验', '手游开发经验', 'Unity3D开发经验']"
游戏特效（unity 3d）,16-30K,经验不限,学历不限,上海,浦东新区,张江,一素动漫,100-499人,游戏,"['绩效奖金', '团建聚餐', '五险一金', '加班补助', '零食下午茶']","['半写实', '写实', '仙侠风', '二次元', 'U3D']"
unity高级开发工程师,40-60K·14薪,5-10年,本科,上海,,,某500强上市公司,1000-9999人,游戏,"['零食下午茶', '餐补', '带薪年假', '年终奖', '员工旅游', '定期体检', '补充医疗保险', '交通补助', '全勤奖', '通讯补贴', '五险一金']","['Unity3D', 'C/C++', 'Lua', '3D游戏客户端开发经验', 'Unity3D开发经验', '手游开发经验']"
unity特效设计师,15-24K,1-3年,学历不限,上海,徐汇区,漕河泾,名兮易动网络科技,100-499人,游戏,"['节日福利', '五险一金']","['RPG游戏', 'Unity 3D', '欧美卡通']"
unity开发工程师,20-30K·15薪,3-5年,本科,上海,闵行区,七宝,馨潮,100-499人,电子商务,"['节日福利', '带薪年假', '包吃', '加班补助', '年终奖', '零食下午茶', '员工旅游', '五险一金', '季度奖金']","['C#', 'Unity3D', '渲染管线']"
高级u3d开发工程师,30-50K·15薪,3-5年,本科,上海,浦东新区,塘桥,上海图南企业管理...,20-99人,电子商务,"['定期体检', '五险一金', '补充医疗保险']",['Unity3D']
unity特效（MJ000565）,15-30K,3-5年,大专,上海,浦东新区,张江,域起网络,100-499人,互联网,"['五险一金', '定期体检', '年终奖', '生日福利']","['二次元', 'U3D', '3ds MAX', 'PS', 'AE', 'unity特效']"
unity游戏开发实习生,200-250元/天,,本科,上海,长宁区,新华路,上海垂耳多比科技,20-99人,人工智能,"['定期体检', '年终奖', '节假日加班费', '五险一金', '带薪年假', '法定节假日三薪', '有无线网', '股票期权', '团建聚餐', '零食下午茶']","['C#', 'Java', '接受实习/在校生投递', 'Unity3D', '3D游戏客户端开发经验', '计算机/软件工程相关专业', 'Unity3D开发经验']"
游戏特效组长,25-30K·13薪,3-5年,本科,上海,,,灵动像素,20-99人,游戏,"['带薪年假', '生日福利', '通讯补贴', '底薪加提成', '年终奖', '团建聚餐', '餐补', '定期体检', '绩效奖金', '员工旅游', '五险一金', '工龄奖', '法定节假日三薪', '加班补助', '交通补助', '节日福利', '住房补贴', '零食下午茶', '全勤奖', '下午茶']","['unity', '管理']"
Unity开发，VR开发，安全教育内容的开发。,5-10K,1-3年,学历不限,上海,松江区,松江大学城,丰羽教育,0-20人,计算机软件,[],"['游戏开发', 'Unity3D', 'C#']"
3D技术专家,55-80K·14薪,5-10年,本科,上海,,,某大型智能驾驶计算方案公司,1000-9999人,互联网,"['股票期权', '员工旅游', '节日福利', '通讯补贴', '年终奖', '交通补助', '零食下午茶', '带薪年假', '住房补贴', '五险一金', '定期体检', '补充医疗保险']","['C/C++', 'Unity3D', '软件开发', '车载hmi']"
unity高级开发工程师,25-35K,5-10年,本科,上海,,,某游戏公司,20-99人,游戏,"['五险一金', '生日福利', '零食下午茶', '绩效奖金', '员工旅游', '带薪年假', '团建聚餐', '节日福利']","['Unity3D', 'C/C++', 'C#', '3D游戏客户端开发经验', 'Unity3D开发经验', '手游开发经验', 'AR    Unity']"
unity特效（2次元）,12-22K,3-5年,大专,上海,长宁区,中山公园,鲸游文化,20-99人,电子商务,[],['二次元']
unity特效,10-15K,3-5年,大专,上海,浦东新区,张江,魂月科技,20-99人,游戏,"['员工旅游', '五险一金', '带薪年假', '年终奖']","['3ds MAX', 'MOBA游戏', 'PS', 'Unity 3D', 'AE', 'RPG游戏', '日韩', '二次元', '俯瞰', '动作冒险', '半写实', '写实']"
unity开发实习生（游戏方向）,2-3K,在校/应届,大专,上海,浦东新区,张江,视辰,20-99人,移动互联网,"['带薪年假', '定期体检', '年终奖', '零食下午茶', '餐补', '节日福利', '五险一金']","['C/C++', 'Unity3D']"
游戏音频策划,13-15K,1-3年,大专,上海,杨浦区,五角场,德科信息有限公司,1000-9999人,计算机软件,"['团建聚餐', '生日福利', '节日福利', '企业年金', '年终奖', '意外险', '带薪年假', '五险一金', '股票期权']","['unity', 'Pro Tools', '游戏', 'Wwise']"
unity游戏开发工程师,12-23K·13薪,1-3年,本科,上海,徐汇区,漕河泾,正朗游戏,100-499人,计算机软件,"['全勤奖', '定期体检', '五险一金', '零食下午茶', '带薪年假', '员工福利', '年终奖', '节日福利', '员工旅游', '每年调薪一次']","['Unity3D', '3D游戏客户端开发经验', '计算机/软件工程相关专业']"
Unity开发实习生,200-250元/天,,本科,上海,浦东新区,张江,二三四五网络,100-499人,互联网,"['年终奖', '免息房贷', '定期体检', '五险一金', '员工旅游', '带薪年假', '生日福利', '补充医疗保险', '节日福利', '零食下午茶', '团建聚餐']","['Unity3D', 'C#', 'Unity3D开发经验', '手游开发经验']"
游戏资深客户端开发工程师（主机向）,50-80K,5-10年,本科,上海,,,某大型知名互联网上市公司,10000人以上,互联网,"['餐补', '带薪年假', '定期体检', '五险一金', '补充医疗保险', '加班补助', '免费班车', '节日福利', '年终奖', '住房补贴', '零食下午茶']","['Unity3D', 'UE4', 'C/C++', '计算机/软件工程相关专业', '游戏客户端开发经验', 'UE4开发经验']"
Unity图形工程师(A145959),30-60K·15薪,5-10年,本科,上海,浦东新区,张江,小鹏汽车,10000人以上,汽车研发/制造,"['年终奖', '带薪年假', '补充医疗保险', '股票期权', '包吃', '餐补', '五险一金', '节日福利', '定期体检']","['Unity3D', '计算机/软件工程相关专业']"
资深售前专家 - Unity智能座舱(A192813),30-55K·16薪,10年以上,本科,上海,虹口区,北外滩,Unity中国,500-999人,计算机软件,"['年终奖', '交通补助', '带薪年假', '股票期权', '保底工资', '节日福利', '零食下午茶', '餐补', '绩效奖金', '生日福利', '意外险', '定期体检', '补充医疗保险', '五险一金']","['售前解决方案架构', 'Unity3D', '智能座舱', '车机HMI', '计算机/软件工程相关专业', 'Unity3D开发经验']"
unity游戏开发工程师,12-18K,3-5年,大专,上海,宝山区,宝山万达广场,九毛互娱,0-20人,游戏,"['零食下午茶', '工龄奖', '节假日加班费', '团建聚餐', '股票期权', '夜班补助', '生日福利', '全勤奖']","['Unity3D', '计算机/软件工程相关专业', '软件开发经验', '手游开发经验', 'Unity3D开发经验']"
客户端开发工程师,25-40K·14薪,5-10年,本科,上海,杨浦区,五角场,子雄科技,100-499人,互联网,"['员工旅游', '补充医疗保险', '零食下午茶', '年终奖', '股票期权', '带薪年假', '加班补助', '五险一金', '节日福利']","['Unity3D', 'C/C++', 'C#']"
高级maya动画师,15-25K,5-10年,大专,上海,杨浦区,五角场,武汉神工科技有限公司,20-99人,游戏,"['零食下午茶', '绩效奖金', '全勤奖', '底薪加提成', '保底工资', '五险一金', '意外险', '带薪年假', '定期体检']",['MB']
Unity技术美术,18-25K,3-5年,学历不限,上海,静安区,静安寺,上海雅荣科技有限公司,20-99人,游戏,"['交通补助', '员工旅游', '包住', '团建聚餐', '带薪年假', '加班补助', '住房补贴', '夜班补助', '通讯补贴', '餐补', '全勤奖', '有无线网', '节假日加班费', '零食下午茶', '节日福利', '年终奖', '宿舍有空调', '五险一金', '绩效奖金', '双休']",['unity']
游戏特效（UE/unity/AE/spine）,10-15K,1-3年,学历不限,上海,徐汇区,漕河泾,战吼网络,20-99人,游戏,"['餐补', '生日福利', '意外险', '全勤奖', '绩效奖金', '年终奖', '通讯补贴', '团建聚餐', '带薪年假', '五险一金', '零食下午茶', '节日福利', '加班补助', '交通补助', '定期体检']","['MOBA游戏', 'AE', 'UE4', 'Spine', 'RPG游戏', 'U3D', '二次元', '写实']"
unity技术美术,20-30K,3-5年,本科,上海,闵行区,虹桥,凯朴硕科技,20-99人,互联网,"['五险一金', '带薪年假', '零食下午茶']","['技术美术', 'unity']"
unity主程,20-40K,5-10年,本科,上海,闵行区,虹桥,上海沐睦,100-499人,游戏,"['季度奖', '员工旅游', '定期体检', '股票期权', '全勤奖', '五险一金', '带薪年假', '节日福利']","['Unity3D', 'Unity3D开发经验', '手游开发经验', 'SLG']"
unity技术美术,10-15K,1年以内,大专,上海,徐汇区,建国西路,Notion Base,0-20人,广告营销,"['通讯补贴', '加班补助', '年终奖', '五险一金', '零食下午茶', '节日福利', '员工旅游', '带薪年假', '餐补']",['C# Android Unity3d']
次时代图形渲染专家(明日方舟:终末地),40-60K·16薪,5-10年,本科,上海,,,某大型游戏公司,1000-9999人,游戏,"['生日福利', '住房补贴', '五险一金', '绩效奖金', '补充医疗保险']","['Unity3D', 'C/C++', 'DirectX/Direct3D', 'C#', '3D游戏客户端开发经验', 'Unity3D开发经验', 'Shader开发经验', '端游开发经验']"
Unity 技术美术,15-20K,1-3年,大专,上海,嘉定区,江桥,上海钼达信息科技...,0-20人,计算机软件,"['五险一金', '年终奖']","['Shader', 'C#', '技术美术', 'unity']"
u3d游戏开发工程师,20-35K,5-10年,本科,上海,闵行区,虹桥,边锋,500-999人,游戏,"['意外险', '交通补助', '住房补贴', '高温补贴', '补充医疗保险', '保底工资', '节假日加班费', '定期体检', '补充公积金', '法定节假日三薪', '定期体检', '夜班补助', '团建聚餐', '五险一金', '年终奖', '零食下午茶', '加班补助', '节日福利', '带薪年假', '餐补']","['Unity3D', '手游开发经验']"
Unity AR/MR 软件工程师,150-230元/天,,本科,上海,杨浦区,东外滩,城建信息,100-499人,计算机软件,"['通讯补贴', '补充医疗保险', '定期体检', '餐补', '年终奖', '五险一金', '交通补助', '节日福利']",['游戏引擎']
unity特效师,10-15K,3-5年,高中,上海,虹口区,大柏树,KeenArt,20-99人,游戏,"['意外险', '零食下午茶', '团建聚餐', '年终奖', '生日福利', '节假日加班费', '五险一金', '定期体检', '绩效奖金', '节日福利', '全勤奖', '住房补贴', '带薪年假', '加班补助', '保底工资']","['写实', 'Unity 3D', '游戏过场动画项目', 'unity特效']"
Unity3D/UE开发,15-22K,3-5年,大专,上海,虹口区,四川北路,海马云,100-499人,互联网,"['绩效奖金', '带薪年假', '免费班车', '员工旅游', '五险一金', '节日福利']","['C#', 'C/C++', 'Unity3D', '3D游戏客户端开发经验', 'Unity3D开发经验', '计算机/软件工程相关专业']"
unity3d高级工程师,15-30K,5-10年,本科,上海,徐汇区,漕河泾,凝聚元界,20-99人,互联网,['五险一金'],['Unity3D']
unity开发工程师,15-20K,1-3年,大专,上海,徐汇区,漕河泾,卉曼科技,100-499人,计算机软件,"['年终奖', '五险一金', '零食下午茶', '定期体检', '加班补助', '节日福利']","['C#', 'Lua', 'Unity3D开发经验', 'UGUI/Fgui']"
unity开发工程师,24-30K·16薪,3-5年,本科,上海,浦东新区,张江,连尚网络,1000-9999人,互联网,"['年终奖', '免费班车', '零食下午茶', '团建聚餐', '法定节假日三薪', '五险一金', '定期体检', '带薪年假', '交通补助', '绩效奖金', '商业险', '餐补', '节日福利', '补充医疗保险']","['Unity3D', 'Objective-C', 'Unity3D开发经验', '端游开发经验']"
Unity开发,12-20K,经验不限,大专,上海,浦东新区,张江,域动数字RhythMo,0-20人,计算机软件,"['团建聚餐', '节日福利', '员工旅游', '零食下午茶', '保底工资', '五险一金']","['C#', '计算机相关专业', 'C#开发经验']"
